Pressure Altitude (ft),Measurement,-25°C,0°C,25°C,50°C,ISA
S.L.,Ground Roll,149,187,228,401,213
S.L.,At 50 ft AGL,162,228,401,486,371
1000,Ground Roll,162,202,245,407,228
1000,At 50 ft AGL,194,242,297,455,397
2000,Ground Roll,177,223,275,425,245
2000,At 50 ft AGL,211,263,323,478,425
3000,Ground Roll,193,241,300,455,263
3000,At 50 ft AGL,230,287,351,502,455
4000,Ground Roll,211,263,328,488,283
4000,At 50 ft AGL,253,316,390,540,488
5000,Ground Roll,231,288,366,524,304
5000,At 50 ft AGL,273,341,421,570,548
6000,Ground Roll,252,314,400,562,329
6000,At 50 ft AGL,293,367,453,607,562
7000,Ground Roll,274,341,438,603,354
7000,At 50 ft AGL,317,396,490,648,603
8000,Ground Roll,297,370,479,648,379
8000,At 50 ft AGL,342,428,529,693,648
9000,Ground Roll,323,402,520,693,409
9000,At 50 ft AGL,388,484,599,760,706
10000,Ground Roll,350,436,566,741,441
10000,At 50 ft AGL,424,530,649,819,748
