Pressure Altitude (ft),Measurement,-25°C,0°C,25°C,50°C,ISA
S.L.,Ground Roll,100,125,175,188,143
S.L.,At 50 ft AGL,178,225,308,352,252
1000,Ground Roll,108,135,190,203,153
1000,At 50 ft AGL,194,242,297,357,270
2000,Ground Roll,119,149,210,225,164
2000,At 50 ft AGL,211,263,323,375,289
3000,Ground Roll,131,163,230,247,176
3000,At 50 ft AGL,230,287,351,410,309
4000,Ground Roll,145,181,255,273,190
4000,At 50 ft AGL,253,316,390,460,332
5000,Ground Roll,155,195,274,295,204
5000,At 50 ft AGL,273,341,421,504,356
6000,Ground Roll,165,210,295,319,219
6000,At 50 ft AGL,293,367,453,540,382
7000,Ground Roll,178,226,317,343,236
7000,At 50 ft AGL,317,396,490,582,410
8000,Ground Roll,192,244,343,372,254
8000,At 50 ft AGL,342,428,529,626,440
9000,Ground Roll,208,265,372,409,274
9000,At 50 ft AGL,388,484,599,715,473
10000,Ground Roll,224,285,400,441,295
10000,At 50 ft AGL,424,530,649,782,508
